EVENT,GENE,LENGTH,Total_Introns,Intron_Position,Repeat_Percentage,Repeat_Types,GC_Content,phylop_mean,PIR_Nuc_baseline,TPM_Nuc_baseline,TPM_Cyt_baseline,Nuclear_Enrichment,hl_gated_gwise,hl_gated_intwise,hl_gated_intwise_scaled,hl_gated_intwise_scaled_logged,stability,CpG_total,CpG_methylated_perc,Speckle_Enrichment,ssDRIP_peaks,ssDRIP_qValue,ssDRIP_cov,UMAP1_IR,UMAP2_IR,class_ir
HsaINT0002041,ACACB,2308,52.0,20.0,62.045060658578855,"SINE/Alu, SINE/MIR, Simple_repeat",49.8700173310225,-0.148638057627083,37.205,18.915,3.04,2.6373875476057904,,,,,Stable_4h,84,92.22222222222224,1.73602563103126,0,,0.9860102403902165,-3.1288764,3.6153884,Retained
HsaINT0002088,ACAD10,1100,20.0,13.0,54.18181818181818,"DNA/TcMar-Tigger, SINE/Alu",47.8181818181818,-0.10435213798899,60.185,26.17,6.6,1.9873759948022192,,12.0,,,Stable_4h,35,85.05747126436782,1.5778472998173,1100,7.48846,1.0929385199363792,1.9151431,6.034773,Retained
HsaINT0002236,ACAP1,519,21.0,17.0,21.19460500963391,LINE/L2,56.0693641618497,-0.0911042466836093,50.585,63.485,9.675,2.714082191153359,,12.0,,,Stable_4h,32,91.84782608695652,,0,,0.9612552115331086,1.6722252,7.4920316,Retained
HsaINT0002237,ACAP1,777,21.0,18.0,64.73616473616474,"SINE/Alu, SINE/MIR",52.1235521235521,-0.1250876272265252,38.65,63.485,9.675,2.714082191153359,,8.67,,,Stable_4h,28,50.4424778761062,,0,,0.9046789459776778,2.8865926,6.466604,Retained
HsaINT0002263,ACAP2,6367,22.0,22.0,11.700958065022771,SINE/Alu,35.307051986807,0.7936699645383425,38.495,24.36,16.955,0.5228033488809016,,,,,Stable_4h,137,91.52215799614645,-0.426366797340655,0,,0.6146275639995298,2.0109875,1.6747925,Retained
HsaINT0002293,ACAP3,474,23.0,9.0,11.181434599156118,Low_complexity,67.9324894514768,-0.6965264252642461,72.92,288.575,6.515,5.469037331814299,7.877,11.732,1.489399517582836,0.1730112088391981,Stable_4h,34,92.10526315789474,3.60761337484946,0,,0.5412733882198514,3.7770298,8.71024,Retained
HsaINT0002406,ACCS,112,14.0,13.0,0.0,,61.6071428571429,-0.1486846853198634,41.98,24.38,1.35,4.174666813569381,4.276,12.0,2.8063610851262863,0.4481435495108844,Stable_4h,3,91.66666666666669,,0,,1.55579975163866,6.3791375,5.535174,Retained
HsaINT0002407,ACCS,117,14.0,14.0,0.0,,62.3931623931624,-0.2148620681676628,35.345,24.38,1.35,4.174666813569381,4.276,,,,Stable_4h,4,100.0,,0,,1.1319769672810098,6.137282,5.8555307,Retained
HsaINT0002846,ACSF2,1292,15.0,11.0,5.804953560371517,SINE/MIR,57.8947368421053,0.0496955847369087,62.37,16.52,4.265,1.9535960401011552,11.552,6.296,0.5450138504155125,-0.2635924608745557,Stable_4h,44,87.6984126984127,1.67052393725736,0,,0.6074686381292624,2.0075316,7.331554,Retained
HsaINT0003054,ACSS2,190,17.0,10.0,0.0,,54.2105263157895,0.6122910076476358,39.69,26.43,16.96,0.6400402550783706,12.0,,,,Stable_4h,0,,1.13591128940089,0,,1.3901670556553078,2.9539392,6.7748337,Retained
HsaINT0003069,ACSS2,296,17.0,9.0,0.0,,51.0135135135135,0.4386101722235839,54.335,26.43,16.96,0.6400402550783706,12.0,,,,Stable_4h,2,100.0,1.13591128940089,0,,1.1346904341873252,0.62818325,7.095468,Retained
HsaINT0003166,ACTN1,1748,20.0,19.0,24.02745995423341,SINE/MIR,55.091533180778,0.446610185696528,45.255,246.13,170.045,0.5335039283152941,,7.869,,,Stable_4h,66,95.89041095890413,0.234645977838125,0,,1.225434170102502,3.6369858,7.4168134,Retained
HsaINT0003199,ACTN3,581,20.0,12.0,0.0,,68.3304647160069,-0.4780224134495225,85.98,97.365,1.845,5.721710535498689,12.0,12.0,1.0,0.0,Stable_4h,46,88.60103626943005,,0,,0.6623991290864752,4.154952,8.670552,Retained
HsaINT0003215,ACTN3,473,20.0,9.0,11.416490486257928,Simple_repeat,58.3509513742072,-0.0015529626173902,66.395,97.365,1.845,5.721710535498689,12.0,6.425,0.5354166666666667,-0.2713081140442926,Stable_4h,10,77.55102040816327,,0,,0.8080278429365644,3.9385705,8.0861845,Retained
HsaINT0003326,ACTR8,1086,12.0,11.0,64.45672191528546,"LINE/L2, SINE/Alu",47.6979742173112,-0.084383410753356,44.115,24.63,16.375,0.5889217211867859,10.974,,,,Stable_4h,36,97.1774193548387,1.06169989090753,0,,0.7841147447280952,0.1572162,4.746852,Retained
HsaINT1002737,ADAL,1310,11.0,2.0,23.129770992366414,"SINE/Alu, SINE/MIR",40.0763358778626,0.1719427040316174,45.36,10.155,5.995,0.7603585808819293,,6.684,,,Stable_4h,24,87.91208791208791,0.796316597198537,0,,1.1612176673087231,-2.2705822,4.380491,Retained
HsaINT0003502,ADAM11,499,26.0,26.0,0.0,,68.7374749498998,0.4258734921381966,96.35,22.585,1.425,3.986331089385412,11.56,,,,Stable_4h,51,9.1324200913242,2.18790213603154,0,,0.5801474573851326,4.2786155,8.197103,Retained
HsaINT0003533,ADAM15,1205,20.0,1.0,0.0,,63.1535269709544,0.3628430230925138,35.365,70.87,18.675,1.924066806022224,9.955,,,,Stable_4h,82,13.003095975232196,2.73295038635223,0,,0.4677062849456977,1.5455087,8.716991,Retained
HsaINT0003899,ADAMTS10,2891,25.0,12.0,17.675544794188863,SINE/MIR,51.1241784849533,-0.0514968859043478,79.255,79.22,3.56,4.475915554938222,,,,,Stable_4h,62,75.23809523809524,,0,,0.3582416898674754,1.878351,9.193796,Retained
HsaINT0004218,ADAMTS7,2902,23.0,16.0,31.49552033080634,"DNA, SINE/Alu, SINE/MIR, Simple_repeat",57.3742246726396,-0.3138448810183193,34.515,187.585,17.915,3.388304520498959,,,,,Stable_4h,95,89.13934426229508,,0,,0.6674935340273616,1.5551564,8.06774,Retained
HsaINT1002805,ADAMTS7,602,23.0,9.0,18.770764119601328,SINE/MIR,65.6146179401993,-0.4706073225171347,51.37,187.585,17.915,3.388304520498959,,12.0,,,Stable_4h,33,96.52173913043478,,0,,0.359012920063569,2.301834,9.110228,Retained
HsaINT0004360,ADAMTSL4,242,16.0,4.0,0.0,,64.0495867768595,-0.1756431552160268,46.9,28.35,1.28,4.469133019829592,12.0,12.0,1.0,0.0,Stable_4h,10,95.45454545454544,3.37892275030911,0,,0.9695203378715184,4.3648596,8.043049,Retained
HsaINT1002817,ADAMTSL4,323,16.0,12.0,46.749226006191954,DNA/hAT-Charlie,56.656346749226,-0.5790652148544887,80.69,28.35,1.28,4.469133019829592,12.0,4.894,0.4078333333333333,-0.3895172810318544,Stable_4h,6,86.36363636363636,3.37892275030911,0,,0.653712237128582,2.081936,7.9031253,Retained
HsaINT0004361,ADAMTSL4,961,16.0,5.0,30.905306971904267,SINE/Alu,57.3361082206035,-0.3900583331653858,35.89,28.35,1.28,4.469133019829592,12.0,7.65,0.6375000000000001,-0.1955198108940071,Stable_4h,35,94.00921658986177,3.37892275030911,0,,1.0628604886981328,2.668485,7.6000266,Retained
HsaINT0004522,ADCK5,71,14.0,8.0,0.0,,73.2394366197183,0.0470285657261099,78.86,35.065,2.205,3.991181167115505,,,,,Stable_4h,2,90.9090909090909,,0,,1.2131204434096867,8.321748,6.119192,Retained
HsaINT0004610,ADCY3,870,20.0,18.0,0.0,,52.2988505747126,-0.4751139219678291,36.42,55.62,14.43,1.9465324448554888,9.739,,,,Stable_4h,28,47.325102880658434,,0,,0.5466307573175415,0.9600535,6.532106,Retained
HsaINT0004615,ADCY3,169,20.0,4.0,0.0,,66.8639053254438,-0.2641785686968693,43.88,55.62,14.43,1.9465324448554888,9.739,6.057,0.621932436595133,-0.2062567921703644,Stable_4h,6,92.3076923076923,,0,,1.247651436368282,4.5123944,8.004895,Retained
HsaINT0004678,ADCY6,220,19.0,19.0,0.0,,63.1818181818182,0.3096894945084972,39.335,46.99,5.54,3.084395886351927,12.0,,,,Stable_4h,4,76.47058823529412,2.86980557959883,220,20.5817,1.4619994437422874,1.5796165,9.186463,Retained
HsaINT1002843,ADD2,1970,15.0,13.0,2.33502538071066,SINE/MIR,52.3857868020305,0.3238552559684245,54.775,81.69,58.555,0.4803671156689955,12.0,6.584,0.5486666666666666,-0.2606914238434114,Stable_4h,46,93.82239382239382,,0,,0.539110586178426,2.4508371,7.624272,Retained
HsaINT0016424,ADGRB1,162,30.0,29.0,0.0,,70.9876543209877,-0.0729937907713263,47.17,50.71,3.195,3.988382438119641,12.0,6.595,0.5495833333333333,-0.2599664461652407,Stable_4h,10,88.88888888888889,,0,,0.8253508560265954,5.6793365,7.423622,Retained
HsaINT1002975,ADGRV1,1563,89.0,31.0,25.78374920025592,"SINE/Alu, Simple_repeat",31.8618042226488,0.2767842511977957,72.675,20.595,7.66,1.4268778289432995,,8.174,,,Stable_4h,20,92.05298013245032,-0.78776686224901,1563,27.0262,1.326874287693869,0.75957894,1.2187468,Retained
HsaINT0005274,AFMID,249,10.0,7.0,0.0,,63.4538152610442,-0.4483427407235027,70.325,37.205,18.49,1.008751294184513,,,,,Stable_4h,10,96.49122807017544,1.58934062961905,0,,0.944477769742742,3.50921,8.301365,Retained
HsaINT0005490,AGBL5,510,15.0,8.0,33.13725490196079,SINE/Alu,46.6666666666667,0.1906797626601945,37.12,30.695,26.78,0.1968477091780264,9.942,11.771,1.183967008650171,0.0733396008997351,Stable_4h,16,89.28571428571429,1.7676009038341,0,,0.6827334124539363,-3.7985888,3.2254262,Retained
HsaINT1003169,AGER,183,10.0,1.0,0.0,,55.1912568306011,0.1591428591189189,68.09,127.67,2.19,5.8653448791634375,9.811,12.0,1.223116909591275,0.0874679703345353,Stable_4h,4,100.0,,0,,0.954242149890106,4.29934,7.460498,Retained
HsaINT0005709,AGRN,1076,35.0,7.0,0.0,,65.8921933085502,-0.1303265112413223,36.07,426.79,58.635,2.863692382703626,,,,,Stable_4h,71,85.66308243727599,2.58652055322882,0,,0.2802782325958347,2.8067946,8.799759,Retained
HsaINT0005685,AGRN,131,35.0,17.0,0.0,,67.9389312977099,-0.3405153828108898,33.735,426.79,58.635,2.863692382703626,,12.0,,,Stable_4h,10,90.9090909090909,2.58652055322882,0,,0.5559086522786185,4.624064,7.9527354,Retained
HsaINT0005687,AGRN,369,35.0,19.0,0.0,,65.5826558265583,0.3362228240138907,70.795,426.79,58.635,2.863692382703626,,,,,Stable_4h,28,97.87234042553192,2.58652055322882,0,,0.4161621325557231,2.9098237,8.64541,Retained
HsaINT0005821,AHCTF1,1530,35.0,20.0,62.87581699346405,"DNA/TcMar-Tigger, SINE/Alu",36.3398692810458,0.0548122970731027,34.285,35.445,28.08,0.3360391943904425,,,,,Stable_4h,26,97.71689497716896,0.335798232992893,0,,1.0530391652984858,-1.0747911,1.847952,Retained
HsaINT0006251,AKAP13,802,36.0,36.0,12.967581047381548,SINE/MIR,45.7605985037406,-0.5418776536363871,49.31,19.35,8.84,1.1302152916403412,,,,,Stable_4h,24,87.02290076335878,-0.681155749555075,0,,0.1566552944526309,0.50165665,5.5250382,Retained
HsaINT1003361,AKT1S1,3934,4.0,1.0,29.13065582104728,"DNA/hAT-Charlie, LINE/CR1, LINE/L2, SINE/Alu, SINE/MIR",57.9054397559736,-0.0956455637032969,96.375,57.51,63.375,-0.1401010043887584,,,,,Stable_4h,271,33.81443298969072,,0,,0.2760421414851567,2.9829836,8.833169,Retained
HsaINT0007007,ALG13,571,26.0,4.0,0.0,,38.0035026269702,0.3598508765896488,39.41,43.21,16.325,1.4042822391559406,,,,,Stable_4h,4,85.71428571428571,,0,,0.4326528815877819,-0.37820774,4.1623235,Retained
HsaINT0007009,ALG13,758,26.0,6.0,0.0,,31.3984168865435,0.294269485025583,52.105,43.21,16.325,1.4042822391559406,,12.0,,,Stable_4h,3,87.5,,0,,0.1385205456652366,-0.096953966,0.033867378,Retained
HsaINT0007063,ALG6,1999,14.0,9.0,20.11005502751376,"LINE/CR1, SINE/Alu, SINE/MIR, Simple_repeat",33.6668334167084,0.5703683679044066,58.65,23.205,21.135,0.1348015851393989,8.741,12.0,1.372840636082828,0.137620125811554,Stable_4h,8,88.23529411764706,0.365400067175494,0,,0.4933391215652458,-0.5824813,2.7982697,Retained
HsaINT0007125,ALKBH2,459,3.0,1.0,57.08061002178649,"DNA/hAT-Charlie, LINE/CR1, SINE/MIR",47.9302832244009,-0.1727096058832945,83.25,36.02,22.285,0.6927252202936218,11.745,12.0,1.0217113665389528,0.0093282249340002,Stable_4h,17,92.17391304347828,1.48203891952515,0,,0.8527977618749027,0.39771923,5.0101333,Retained
HsaINT1003525,ALS2CL,558,25.0,19.0,0.0,,55.1971326164875,-0.2786104136463873,68.03,34.815,1.09,4.997308983288712,12.0,10.686,0.8905,-0.0503660762007376,Stable_4h,10,93.50649350649353,,0,,0.2862111821676567,1.3460209,6.243037,Retained
HsaINT0007418,ALS2CL,1142,25.0,14.0,30.035026269702275,SINE/MIR,55.6042031523643,-0.1069491688314316,69.495,34.815,1.09,4.997308983288712,12.0,5.23,0.4358333333333333,-0.3606795571803505,Stable_4h,26,90.76923076923076,,0,,0.5711007768955336,3.5184457,7.780001,Retained
HsaINT0007417,ALS2CL,704,25.0,13.0,0.0,,60.5113636363636,-0.2785504998415337,33.16,34.815,1.09,4.997308983288712,12.0,12.0,1.0,0.0,Stable_4h,32,84.81675392670157,,0,,0.4790523353610488,2.9351776,7.2579923,Retained
HsaINT1003530,ALS2CL,299,25.0,24.0,47.15719063545151,SINE/MIR,62.5418060200669,-0.3018120800288731,53.72,34.815,1.09,4.997308983288712,12.0,9.425,0.7854166666666668,-0.1048998871697943,Stable_4h,12,90.54054054054056,,0,,0.5483931587621002,2.814083,7.95128,Retained
HsaINT0007714,AMPD2,147,17.0,11.0,23.80952380952381,Simple_repeat,57.8231292517007,-0.2622397200217189,50.28,141.56,18.43,2.9412856907945173,7.844,4.602,0.5866904640489546,-0.2315909706631218,Stable_4h,2,80.0,3.36245897784918,0,,0.606456606539497,4.9245696,6.2159963,Retained
HsaINT0007883,ANAPC2,4343,12.0,10.0,43.33410085194566,LTR/ERVL-MaLR,59.3829150356896,-0.6085783054176016,67.235,145.5,24.755,2.555227298720848,,12.0,,,Stable_4h,235,82.97491039426524,2.22366515703938,0,,0.2524100886001481,3.460006,8.37455,Retained
HsaINT0008309,ANKIB1,5883,19.0,7.0,65.35781064082951,"DNA/TcMar-Tigger, DNA/hAT-Charlie, DNA/hAT-Tag1, LINE/L1, LINE/L2, LINE/RTE-X, SINE/Alu, SINE/MIR, Simple_repeat",37.2429032806391,0.1624063251239071,38.95,53.425,22.53,1.245667689311745,,,,,Stable_4h,88,91.97431781701444,-0.139346172716209,0,,1.2190329276991252,-1.7232137,3.7388923,Retained
HsaINT0008323,ANKLE1,204,8.0,5.0,0.0,,57.3529411764706,-0.1247635458354044,88.245,19.99,3.075,2.700620156518025,,12.0,,,Stable_4h,2,90.9090909090909,3.3218835017194,204,2.04527,0.6817844924436969,4.0818024,7.7258477,Retained
HsaINT0008612,ANKRD23,272,8.0,4.0,0.0,,61.7647058823529,-0.6885129135493808,41.75,52.715,1.585,5.055658792218958,8.053,9.299,1.1547249472246366,0.0624785486192775,Stable_4h,16,93.02325581395348,,0,,0.3612587719561023,1.5538388,7.5862937,Retained
HsaINT0009281,ANKZF1,395,13.0,5.0,45.56962025316456,SINE/MIR,41.7721518987342,0.2987131982873936,34.29,184.275,20.835,3.1447793532681345,5.403,,,,Stable_4h,4,88.88888888888889,2.86316636705187,0,,0.5553337413022795,0.36419776,4.5372725,Retained
HsaINT0009841,AOC2,2871,3.0,1.0,43.39951236502961,"DNA/hAT-Charlie, LINE/L2, SINE/Alu, SINE/MIR, Simple_repeat",49.4601184256357,-0.071070731295482,74.85,14.975,2.475,2.597055572709176,,,,,Stable_4h,62,81.71806167400881,2.51997209530858,0,,0.7537182267416733,1.2311711,8.547252,Retained
HsaINT1004091,AP001626.2,120,1.0,1.0,0.0,,52.5,-0.1360588240194596,40.285,25.49,1.35,4.238900060971371,4.52,,,,Stable_4h,2,100.0,,0,,0.8282423026291169,5.731031,5.4675484,Retained
HsaINT1004136,AP006621.6,177,1.0,1.0,0.0,,63.2768361581921,-0.1967443201038722,100.0,15.36,1.205,3.6720731644911946,2.638,12.0,4.548900682335103,0.6579064548372784,Stable_4h,8,81.08108108108108,,0,,0.6896770460035098,2.166219,8.33175,Retained
HsaINT0010027,AP2A1,810,22.0,11.0,49.38271604938272,"SINE/Alu, SINE/MIR",59.8765432098765,-0.4185030896791368,42.575,106.405,67.38,0.6591736114934884,12.0,,,,Stable_4h,50,95.78947368421052,1.85693110779143,0,,0.8908676074384146,2.9188669,7.583623,Retained
HsaINT0010031,AP2A1,807,22.0,15.0,6.691449814126394,Simple_repeat,64.1883519206939,0.3700111668722163,46.885,106.405,67.38,0.6591736114934884,12.0,5.662,0.4718333333333333,-0.3262113810185406,Stable_4h,56,55.68862275449102,1.85693110779143,0,,1.113585335216078,4.275337,8.520218,Retained
HsaINT0010058,AP2A2,964,21.0,18.0,3.4232365145228214,Simple_repeat,57.4688796680498,-0.6823811008717511,44.435,83.22,23.58,1.8193665700649964,12.0,10.726,0.8938333333333334,-0.0487434534205755,Stable_4h,74,92.152466367713,0.076402457581594,0,,0.3268472285530995,2.4036584,8.526728,Retained
HsaINT0010056,AP2A2,2723,21.0,16.0,58.09768637532134,"LINE/L1, SINE/Alu, Simple_repeat",49.3206022769005,-0.2916227043508401,34.48,83.22,23.58,1.8193665700649964,12.0,,,,Stable_4h,120,92.90865384615384,0.076402457581594,0,,0.5431743275042844,1.2019633,2.5775917,Retained
HsaINT0010057,AP2A2,1394,21.0,17.0,0.0,,52.0803443328551,-0.4393977026821315,45.58,83.22,23.58,1.8193665700649964,12.0,12.0,1.0,0.0,Stable_4h,81,94.60043196544277,0.076402457581594,0,,0.2336180302446144,1.4557997,6.066692,Retained
HsaINT0010145,AP3B2,326,25.0,20.0,0.0,,56.7484662576687,0.0629076937707857,61.61,13.185,2.145,2.6198480183650146,8.293,4.842,0.583865911009285,-0.2336868802766071,Stable_4h,8,21.21212121212121,,0,,1.0594050266144897,1.4175783,6.752978,Retained
HsaINT0010147,AP3B2,441,25.0,22.0,0.0,,53.968253968254,-0.0360250027516899,66.625,13.185,2.145,2.6198480183650146,8.293,,,,Stable_4h,6,82.75862068965517,,0,,0.8500868609669899,0.51242775,7.0029655,Retained
HsaINT1004160,AP3D1,1031,31.0,24.0,57.41998060135791,LINE/L1,57.9049466537342,-0.8074242720716108,43.865,271.56,117.6,1.207382930264322,12.0,8.211,0.68425,-0.1647851939178387,Stable_4h,70,96.59442724458204,,0,,0.5344555442295624,3.2064044,7.620965,Retained
HsaINT0010316,APBA2,3594,15.0,11.0,14.468558708959376,SINE/Alu,57.5403450194769,-0.4043682159654365,65.0,21.965,9.12,1.26810076992802,12.0,,,,Stable_4h,250,50.51724137931034,,0,,0.2493878001687923,2.4868116,7.3947453,Retained
HsaINT0010326,APBA3,774,10.0,6.0,39.53488372093023,SINE/Alu,60.9819121447028,-0.5643816294203082,45.07,29.645,8.68,1.7720218489453234,,,,,Stable_4h,46,90.82969432314412,2.66319266480101,774,7.34834,0.7966199452092846,-3.143518,3.5975175,Retained
HsaINT0010379,APBB3,870,11.0,3.0,38.27586206896552,"SINE/Alu, Simple_repeat",46.7816091954023,0.0226570779455812,63.2,115.665,4.135,4.805921234197802,12.0,7.085,0.5904166666666667,-0.2288413914641456,Stable_4h,16,91.12903225806453,,0,,1.208353391345622,1.3673148,4.9614825,Retained
HsaINT0010772,APPL2,209,20.0,18.0,0.0,,37.3205741626794,0.0381442299605203,51.81,29.245,11.945,1.2917831352843252,12.0,5.824,0.4853333333333333,-0.313959879742644,Stable_4h,2,100.0,0.542505108332994,0,,1.2630664944042809,-0.5458558,2.4649265,Retained
HsaINT0010909,ARAF,505,15.0,12.0,0.0,,56.8316831683168,0.2388373004436116,52.72,106.215,30.445,1.802710304183724,5.286,10.344,1.956867196367764,0.2915613530766461,Stable_4h,14,95.86776859504133,2.78278406547021,0,,0.4493235750657451,0.9729866,7.9768715,Retained
HsaINT1004277,ARAP3,3065,32.0,16.0,60.0652528548124,"DNA/hAT-Charlie, SINE/Alu, SINE/MIR, Simple_repeat",49.1027732463295,0.0918978462509787,49.115,179.82,24.305,2.887228450446149,12.0,12.0,1.0,0.0,Stable_4h,90,90.6832298136646,,0,,1.1570165287042595,4.1388445,6.258638,Retained
HsaINT0010996,ARAP3,110,32.0,15.0,0.0,,55.4545454545455,0.0977247669703301,32.25,179.82,24.305,2.887228450446149,12.0,12.0,1.0,0.0,Stable_4h,0,,,0,,2.4635102348488283,4.662124,6.9309983,Retained
