,GENE,LENGTH,Total_Introns,Intron_Position,Repeat_Percentage,Repeat_Types,GC_Content,phylop_mean,PIR_Nuc_baseline,TPM_Nuc_baseline,TPM_Cyt_baseline,Nuclear_Enrichment,hl_gated_gwise,hl_gated_intwise,hl_gated_intwise_scaled,hl_gated_intwise_scaled_logged,stability,CpG_total,CpG_methylated_perc,Speckle_Enrichment,ssDRIP_peaks,ssDRIP_qValue,ssDRIP_cov,UMAP1_HLrev,UMAP2_HLrev,class_hls
HsaINT1000297,ABTB1,1309,11.0,1.0,0.0,,65.0878533231474,-0.4944870039170596,54.125,40.04,2.42,4.048363021561399,12.0,6.38,0.5316666666666666,-0.2743605673264625,Stable_4h,139,18.137254901960784,,0,,0.4492460034071037,8.535222,10.684431,LL-RIs
HsaINT1000621,AC005329.7,281,2.0,2.0,58.00711743772242,DNA/hAT,49.4661921708185,-0.4126714261348492,90.14,87.18,3.385,4.686769464779001,1.55,6.427,4.146451612903226,0.6176766017401085,Stable_4h,16,95.72649572649571,,0,,0.7793309551515657,10.01026,5.8586597,LL-RIs
HsaINT1000714,AC006042.6,754,2.0,1.0,0.0,,45.7559681697613,0.0820491365155521,100.0,17.175,1.605,3.4196648965831598,2.998,12.0,4.00266844563042,0.6023496175353641,Stable_4h,10,89.0625,,0,,0.8603013268349426,11.880699,6.431977,LL-RIs
HsaINT1001212,AC010761.14,285,1.0,1.0,10.175438596491228,SINE/Alu,56.4912280701754,0.0235809857881641,61.635,24.255,1.495,4.020064789996713,8.344,12.0,1.4381591562799618,0.1578069506291504,Stable_4h,24,0.591715976331361,,0,,1.5058679604206473,8.831626,7.2068563,LL-RIs
HsaINT1002088,AC092198.1,216,1.0,1.0,22.685185185185187,Simple_repeat,53.2407407407407,0.8697674385510211,79.265,12.445,3.02,2.042945775655957,8.379,12.0,1.4321518080916578,0.1559890556269573,Stable_4h,14,0.0,,0,,1.320514045351596,8.841331,6.8852115,LL-RIs
HsaINT1002451,AC116614.1,109,1.0,1.0,0.0,,50.4587155963303,-0.3333055539987981,71.025,692.32,12.64,5.775370657244788,5.276,12.0,2.2744503411675514,0.3568764591732972,Stable_4h,8,0.0,,0,,0.7773672533449295,4.8889832,7.3079615,LL-RIs
HsaINT1002458,AC124789.1,490,3.0,1.0,24.081632653061224,Simple_repeat,64.6938775510204,0.3751206531547436,69.13,11.78,13.595,-0.2067366121942995,11.823,12.0,1.0149708195889369,0.0064535564623593,Stable_4h,18,2.6666666666666665,,0,,1.4312735060292532,10.806588,9.574566,LL-RIs
HsaINT1002565,ACAA1,168,11.0,8.0,0.0,,58.9285714285714,-0.0393652716849534,83.76,125.26,33.565,1.899896236529036,7.161,5.586,0.780058651026393,-0.1078727423614306,Stable_4h,4,84.61538461538461,2.73524797067609,0,,0.5403647873138206,8.7768135,8.925636,LL-RIs
HsaINT0002129,ACAD8,1298,10.0,6.0,4.160246533127889,LINE/L2,43.9137134052388,-0.0002282192621275,78.5,91.37,53.48,0.7727210898327616,12.0,7.331,0.6109166666666667,-0.2140180265415386,Stable_4h,18,90.47619047619048,2.51225358177385,0,,0.3754795517466069,11.153653,6.2152753,LL-RIs
HsaINT0002132,ACAD8,629,10.0,9.0,0.0,,52.3052464228935,-0.1214442671839055,50.095,91.37,53.48,0.7727210898327616,12.0,9.711,0.80925,-0.0919172919253892,Stable_4h,15,64.16666666666667,2.51225358177385,0,,0.3168173101441547,10.383277,9.032983,LL-RIs
HsaINT0002126,ACAD8,1257,10.0,3.0,51.86953062848051,"SINE/Alu, Simple_repeat",48.8464598249801,-0.0199068481662232,56.525,91.37,53.48,0.7727210898327616,12.0,12.0,1.0,0.0,Stable_4h,56,93.29896907216497,2.51225358177385,0,,1.216342587564809,13.622397,6.02351,LL-RIs
HsaINT0002128,ACAD8,523,10.0,5.0,0.0,,47.4187380497132,-0.1458716471634905,41.435,91.37,53.48,0.7727210898327616,12.0,12.0,1.0,0.0,Stable_4h,14,89.88764044943821,2.51225358177385,0,,1.219052311434459,9.156231,6.1260424,LL-RIs
HsaINT0002125,ACAD8,439,10.0,2.0,0.0,,38.7243735763098,-0.224196347367331,47.96,91.37,53.48,0.7727210898327616,12.0,12.0,1.0,0.0,Stable_4h,12,93.45794392523364,2.51225358177385,0,,0.2339553312225587,11.049924,4.868037,LL-RIs
HsaINT0002206,ACADVL,95,19.0,8.0,0.0,,61.0526315789474,0.2409893576343088,80.24,931.9,43.23,4.430070409622776,9.871,12.0,1.2156823016918246,0.0848200941396238,Stable_4h,6,90.0,3.20270914666845,0,,1.787535842107164,4.132695,8.3059635,LL-RIs
HsaINT0002190,ACADVL,267,19.0,10.0,0.0,,56.9288389513109,-0.0274248111422376,94.845,931.9,43.23,4.430070409622776,9.871,12.0,1.2156823016918246,0.0848200941396238,Stable_4h,10,78.84615384615384,3.20270914666845,0,,0.8068481811684005,7.8740296,7.6440597,LL-RIs
HsaINT0002293,ACAP3,474,23.0,9.0,11.181434599156118,Low_complexity,67.9324894514768,-0.6965264252642461,72.92,288.575,6.515,5.469037331814299,7.877,11.732,1.489399517582836,0.1730112088391981,Stable_4h,34,92.10526315789474,3.60761337484946,0,,0.5412733882198514,7.5115547,9.227715,LL-RIs
HsaINT0002406,ACCS,112,14.0,13.0,0.0,,61.6071428571429,-0.1486846853198634,41.98,24.38,1.35,4.174666813569381,4.276,12.0,2.8063610851262863,0.4481435495108844,Stable_4h,3,91.66666666666669,,0,,1.55579975163866,5.1314964,7.6777997,LL-RIs
HsaINT0002504,ACHE,346,4.0,2.0,20.809248554913296,Simple_repeat,58.6705202312139,0.4530840575782771,91.045,16.71,2.26,2.8863170556460003,4.959,12.0,2.419842710223836,0.3837871377565149,Stable_4h,11,93.1818181818182,,0,,1.3055850193938523,7.9707603,7.01613,LL-RIs
HsaINT1002626,ACOT8,1570,5.0,5.0,46.24203821656051,"DNA/hAT-Charlie, SINE/Alu, SINE/MIR",48.5350318471338,0.0907450599778132,56.13,38.71,26.68,0.5369476411077262,12.0,7.887,0.65725,-0.1822694052215996,Stable_4h,30,95.81151832460732,2.00199134059671,0,,0.4047926939790585,12.731108,6.965221,LL-RIs
HsaINT0002846,ACSF2,1292,15.0,11.0,5.804953560371517,SINE/MIR,57.8947368421053,0.0496955847369087,62.37,16.52,4.265,1.9535960401011552,11.552,6.296,0.5450138504155125,-0.2635924608745557,Stable_4h,44,87.6984126984127,1.67052393725736,0,,0.6074686381292624,9.699492,8.520357,LL-RIs
HsaINT0003199,ACTN3,581,20.0,12.0,0.0,,68.3304647160069,-0.4780224134495225,85.98,97.365,1.845,5.721710535498689,12.0,12.0,1.0,0.0,Stable_4h,46,88.60103626943005,,0,,0.6623991290864752,7.0760264,8.878328,LL-RIs
HsaINT0003215,ACTN3,473,20.0,9.0,11.416490486257928,Simple_repeat,58.3509513742072,-0.0015529626173902,66.395,97.365,1.845,5.721710535498689,12.0,6.425,0.5354166666666667,-0.2713081140442926,Stable_4h,10,77.55102040816327,,0,,0.8080278429365644,7.63164,8.36448,LL-RIs
HsaINT0003263,ACTR1B,235,10.0,5.0,0.0,,59.5744680851064,0.1581923112026455,92.255,183.53,23.715,2.9521441332096257,12.0,12.0,1.0,0.0,Stable_4h,6,100.0,3.04298900242351,0,,0.9917644451997166,8.366375,7.129386,LL-RIs
HsaINT0004360,ADAMTSL4,242,16.0,4.0,0.0,,64.0495867768595,-0.1756431552160268,46.9,28.35,1.28,4.469133019829592,12.0,12.0,1.0,0.0,Stable_4h,10,95.45454545454544,3.37892275030911,0,,0.9695203378715184,7.228464,8.442815,LL-RIs
HsaINT0004361,ADAMTSL4,961,16.0,5.0,30.905306971904267,SINE/Alu,57.3361082206035,-0.3900583331653858,35.89,28.35,1.28,4.469133019829592,12.0,7.65,0.6375000000000001,-0.1955198108940071,Stable_4h,35,94.00921658986177,3.37892275030911,0,,1.0628604886981328,8.491156,8.016532,LL-RIs
HsaINT0004604,ADCY3,2547,20.0,12.0,58.89281507656066,"LINE/CR1, SINE/Alu, SINE/MIR",51.5508441303494,-0.1387867238813808,46.215,55.62,14.43,1.9465324448554888,9.739,10.733,1.1020638669267893,0.0422067635267959,Stable_4h,122,88.26025459688826,,0,,0.8892624857746843,9.537578,7.3259554,LL-RIs
HsaINT0004611,ADCY3,668,20.0,19.0,0.0,,53.2934131736527,-0.2567226391992876,48.295,55.62,14.43,1.9465324448554888,9.739,12.0,1.2321593592771332,0.0906668802139587,Stable_4h,16,79.06976744186046,,0,,0.592581922375973,9.283029,8.286246,LL-RIs
HsaINT0004613,ADCY3,609,20.0,20.0,0.0,,58.128078817734,-0.4987417744636523,93.915,55.62,14.43,1.9465324448554888,9.739,6.253,0.6420577061299928,-0.1924259371529976,Stable_4h,28,93.4640522875817,,0,,0.541379429147385,10.117649,10.180285,LL-RIs
HsaINT0004615,ADCY3,169,20.0,4.0,0.0,,66.8639053254438,-0.2641785686968693,43.88,55.62,14.43,1.9465324448554888,9.739,6.057,0.621932436595133,-0.2062567921703644,Stable_4h,6,92.3076923076923,,0,,1.247651436368282,6.9091487,8.393302,LL-RIs
HsaINT1002843,ADD2,1970,15.0,13.0,2.33502538071066,SINE/MIR,52.3857868020305,0.3238552559684245,54.775,81.69,58.555,0.4803671156689955,12.0,6.584,0.5486666666666666,-0.2606914238434114,Stable_4h,46,93.82239382239382,,0,,0.539110586178426,9.127148,8.715858,LL-RIs
HsaINT0016424,ADGRB1,162,30.0,29.0,0.0,,70.9876543209877,-0.0729937907713263,47.17,50.71,3.195,3.988382438119641,12.0,6.595,0.5495833333333333,-0.2599664461652407,Stable_4h,10,88.88888888888889,,0,,0.8253508560265954,5.7631392,9.793297,LL-RIs
HsaINT1003166,AGBL5,478,15.0,14.0,0.0,,48.326359832636,0.6282599560352163,77.02,30.695,26.78,0.1968477091780264,9.942,12.0,1.2070006035003018,0.0817074872446444,Stable_4h,8,95.1219512195122,1.7676009038341,0,,0.8546357028552029,9.746651,6.8340425,LL-RIs
HsaINT0005490,AGBL5,510,15.0,8.0,33.13725490196079,SINE/Alu,46.6666666666667,0.1906797626601945,37.12,30.695,26.78,0.1968477091780264,9.942,11.771,1.183967008650171,0.0733396008997351,Stable_4h,16,89.28571428571429,1.7676009038341,0,,0.6827334124539363,14.213803,6.0394077,LL-RIs
HsaINT0005483,AGBL5,385,15.0,15.0,0.0,,47.012987012987,0.3666432296182999,75.525,30.695,26.78,0.1968477091780264,9.942,12.0,1.2070006035003018,0.0817074872446444,Stable_4h,4,96.15384615384616,1.7676009038341,0,,0.9998318376172364,8.30671,6.481119,LL-RIs
HsaINT0005481,AGBL5,985,15.0,12.0,28.83248730964467,"DNA/hAT-Charlie, SINE/MIR",45.2791878172589,0.148894309665349,85.52,30.695,26.78,0.1968477091780264,9.942,12.0,1.2070006035003018,0.0817074872446444,Stable_4h,16,94.11764705882354,1.7676009038341,0,,0.3215600024427547,10.49326,6.208271,LL-RIs
HsaINT0005482,AGBL5,303,15.0,13.0,0.0,,54.4554455445545,0.8103774841917241,88.615,30.695,26.78,0.1968477091780264,9.942,12.0,1.2070006035003018,0.0817074872446444,Stable_4h,0,,1.7676009038341,0,,0.9386682702745336,7.804741,7.303292,LL-RIs
HsaINT1003169,AGER,183,10.0,1.0,0.0,,55.1912568306011,0.1591428591189189,68.09,127.67,2.19,5.8653448791634375,9.811,12.0,1.223116909591275,0.0874679703345353,Stable_4h,4,100.0,,0,,0.954242149890106,8.020859,6.858296,LL-RIs
HsaINT0005604,AGPAT4,649,8.0,4.0,0.0,,61.633281972265,-1.306225305173602,66.57,42.4,8.775,2.2725932342586384,12.0,6.491,0.5409166666666666,-0.2668696369165011,Stable_4h,28,97.54601226993866,,0,,0.2508293097767089,9.517745,9.1771555,LL-RIs
HsaINT1003333,AKAP17A,451,5.0,5.0,0.0,,67.8492239467849,-0.5428955563038794,89.64,206.01,31.035,2.730746318416833,7.607,12.0,1.5774944130406203,0.1979678297926056,Stable_4h,0,,,0,,0.0,7.502226,9.810983,LL-RIs
HsaINT0006983,ALG12,112,9.0,9.0,0.0,,69.6428571428571,-0.4456666711348671,64.825,21.465,14.5,0.565933272545527,12.0,6.964,0.5803333333333334,-0.2363224836023312,Stable_4h,6,100.0,1.60865142611844,0,,0.636242864355958,5.025721,8.472912,LL-RIs
HsaINT0007063,ALG6,1999,14.0,9.0,20.11005502751376,"LINE/CR1, SINE/Alu, SINE/MIR, Simple_repeat",33.6668334167084,0.5703683679044066,58.65,23.205,21.135,0.1348015851393989,8.741,12.0,1.372840636082828,0.137620125811554,Stable_4h,8,88.23529411764706,0.365400067175494,0,,0.4933391215652458,12.530325,4.4113684,LL-RIs
HsaINT0007125,ALKBH2,459,3.0,1.0,57.08061002178649,"DNA/hAT-Charlie, LINE/CR1, SINE/MIR",47.9302832244009,-0.1727096058832945,83.25,36.02,22.285,0.6927252202936218,11.745,12.0,1.0217113665389528,0.0093282249340002,Stable_4h,17,92.17391304347828,1.48203891952515,0,,0.8527977618749027,11.299776,6.2076955,LL-RIs
HsaINT1003525,ALS2CL,558,25.0,19.0,0.0,,55.1971326164875,-0.2786104136463873,68.03,34.815,1.09,4.997308983288712,12.0,10.686,0.8905,-0.0503660762007376,Stable_4h,10,93.50649350649353,,0,,0.2862111821676567,10.20135,7.2622604,LL-RIs
HsaINT0007418,ALS2CL,1142,25.0,14.0,30.035026269702275,SINE/MIR,55.6042031523643,-0.1069491688314316,69.495,34.815,1.09,4.997308983288712,12.0,5.23,0.4358333333333333,-0.3606795571803505,Stable_4h,26,90.76923076923076,,0,,0.5711007768955336,8.068981,8.125376,LL-RIs
HsaINT0007417,ALS2CL,704,25.0,13.0,0.0,,60.5113636363636,-0.2785504998415337,33.16,34.815,1.09,4.997308983288712,12.0,12.0,1.0,0.0,Stable_4h,32,84.81675392670157,,0,,0.4790523353610488,8.141192,7.857016,LL-RIs
HsaINT1003530,ALS2CL,299,25.0,24.0,47.15719063545151,SINE/MIR,62.5418060200669,-0.3018120800288731,53.72,34.815,1.09,4.997308983288712,12.0,9.425,0.7854166666666668,-0.1048998871697943,Stable_4h,12,90.54054054054056,,0,,0.5483931587621002,8.901354,9.162191,LL-RIs
HsaINT0007724,AMPD2,262,17.0,6.0,0.0,,62.2137404580153,-0.0184099592172123,74.22,141.56,18.43,2.9412856907945173,7.844,12.0,1.5298317185109638,0.1846436610518784,Stable_4h,0,,3.36245897784918,0,,0.4334186469632579,7.121961,8.9923115,LL-RIs
HsaINT0007714,AMPD2,147,17.0,11.0,23.80952380952381,Simple_repeat,57.8231292517007,-0.2622397200217189,50.28,141.56,18.43,2.9412856907945173,7.844,4.602,0.5866904640489546,-0.2315909706631218,Stable_4h,2,80.0,3.36245897784918,0,,0.606456606539497,9.9460335,8.353208,LL-RIs
HsaINT0008261,ANKHD1,1225,33.0,13.0,25.3061224489796,SINE/Alu,35.4285714285714,0.2562720582806589,74.1,80.39,30.94,1.3775428537754433,12.0,8.703,0.72525,-0.1395122625252983,Stable_4h,27,91.19496855345912,,0,,0.7152117282880397,11.693289,3.4310772,LL-RIs
HsaINT0008338,ANKLE2,830,12.0,9.0,0.0,,45.9036144578313,-0.4162726194465216,77.515,122.065,38.095,1.679976031745949,12.0,12.0,1.0,0.0,Stable_4h,34,93.5483870967742,1.08497792401651,0,,0.2905942444058882,11.430726,6.3325787,LL-RIs
HsaINT0008433,ANKRD13B,390,14.0,14.0,0.0,,71.2820512820513,-0.2384267340364547,89.925,193.33,13.105,3.882876266473223,8.553,12.0,1.4030164854437035,0.1470627740185023,Stable_4h,53,71.68141592920354,,0,,0.5602093788028171,7.3531337,10.20914,LL-RIs
HsaINT0008612,ANKRD23,272,8.0,4.0,0.0,,61.7647058823529,-0.6885129135493808,41.75,52.715,1.585,5.055658792218958,8.053,9.299,1.1547249472246366,0.0624785486192775,Stable_4h,16,93.02325581395348,,0,,0.3612587719561023,10.091664,8.562364,LL-RIs
HsaINT0009275,ANKZF1,122,13.0,11.0,0.0,,41.8032786885246,0.4908347149304506,65.805,184.275,20.835,3.1447793532681345,5.403,10.42,1.9285582084027395,0.2852327514243099,Stable_4h,0,,2.86316636705187,0,,0.914340228186072,5.636985,8.292123,LL-RIs
HsaINT0009274,ANKZF1,161,13.0,10.0,0.0,,44.7204968944099,0.2447500043766922,88.855,184.275,20.835,3.1447793532681345,5.403,6.404,1.1852674440125857,0.0738163557080663,Stable_4h,0,,2.86316636705187,0,,1.036335383501859,11.302943,7.4146996,LL-RIs
HsaINT1004136,AP006621.6,177,1.0,1.0,0.0,,63.2768361581921,-0.1967443201038722,100.0,15.36,1.205,3.6720731644911946,2.638,12.0,4.548900682335103,0.6579064548372784,Stable_4h,8,81.08108108108108,,0,,0.6896770460035098,9.082397,8.423106,LL-RIs
HsaINT0009970,AP1G2,189,19.0,9.0,0.0,,60.8465608465608,0.1382978751343932,48.665,379.22,18.895,4.326958630029694,10.3,11.421,1.1088349514563105,0.0448669068288573,Stable_4h,3,83.33333333333333,3.58261253000216,0,,1.2059189252748668,10.801849,8.662895,LL-RIs
HsaINT0010031,AP2A1,807,22.0,15.0,6.691449814126394,Simple_repeat,64.1883519206939,0.3700111668722163,46.885,106.405,67.38,0.6591736114934884,12.0,5.662,0.4718333333333333,-0.3262113810185406,Stable_4h,56,55.68862275449102,1.85693110779143,0,,1.113585335216078,6.9190454,8.710354,LL-RIs
HsaINT0010058,AP2A2,964,21.0,18.0,3.4232365145228214,Simple_repeat,57.4688796680498,-0.6823811008717511,44.435,83.22,23.58,1.8193665700649964,12.0,10.726,0.8938333333333334,-0.0487434534205755,Stable_4h,74,92.152466367713,0.076402457581594,0,,0.3268472285530995,8.153511,9.41865,LL-RIs
HsaINT0010057,AP2A2,1394,21.0,17.0,0.0,,52.0803443328551,-0.4393977026821315,45.58,83.22,23.58,1.8193665700649964,12.0,12.0,1.0,0.0,Stable_4h,81,94.60043196544277,0.076402457581594,0,,0.2336180302446144,10.718261,7.878281,LL-RIs
HsaINT0010145,AP3B2,326,25.0,20.0,0.0,,56.7484662576687,0.0629076937707857,61.61,13.185,2.145,2.6198480183650146,8.293,4.842,0.583865911009285,-0.2336868802766071,Stable_4h,8,21.21212121212121,,0,,1.0594050266144897,10.587851,7.6964607,LL-RIs
HsaINT1004160,AP3D1,1031,31.0,24.0,57.41998060135791,LINE/L1,57.9049466537342,-0.8074242720716108,43.865,271.56,117.6,1.207382930264322,12.0,8.211,0.68425,-0.1647851939178387,Stable_4h,70,96.59442724458204,,0,,0.5344555442295624,8.352373,9.737982,LL-RIs
HsaINT0010223,AP4B1,752,10.0,3.0,38.16489361702128,SINE/Alu,41.6223404255319,0.2638242330038474,77.02,31.36,10.965,1.5160197474416146,5.461,7.624,1.3960813037905144,0.1449107110947265,Stable_4h,6,95.1219512195122,1.89293410210315,0,,0.5962178478593269,11.518431,5.385317,LL-RIs
HsaINT0010222,AP4B1,1742,10.0,2.0,57.63490241102181,"DNA/hAT-Charlie, LINE/L2, SINE/Alu",44.0872560275545,0.1436944277215527,89.835,31.36,10.965,1.5160197474416146,5.461,12.0,2.1973997436366965,0.3419090695120814,Stable_4h,54,65.14423076923077,1.89293410210315,0,,0.6218024902659531,11.145494,5.6866794,LL-RIs
HsaINT0010308,APBA2,5486,15.0,14.0,21.09004739336493,"LINE/L1, LINE/L2, LTR/ERVL-MaLR, SINE/Alu, SINE/MIR, Simple_repeat",58.749544294568,-0.332422424587714,75.685,21.965,9.12,1.26810076992802,12.0,12.0,1.0,0.0,Stable_4h,216,91.0483870967742,,0,,0.2646898510784839,9.027479,8.280823,LL-RIs
HsaINT0010379,APBB3,870,11.0,3.0,38.27586206896552,"SINE/Alu, Simple_repeat",46.7816091954023,0.0226570779455812,63.2,115.665,4.135,4.805921234197802,12.0,7.085,0.5904166666666667,-0.2288413914641456,Stable_4h,16,91.12903225806453,,0,,1.208353391345622,10.167836,5.8083544,LL-RIs
HsaINT0010375,APBB3,281,11.0,1.0,0.0,,53.7366548042705,0.0236928593546118,62.93,115.665,4.135,4.805921234197802,12.0,12.0,1.0,0.0,Stable_4h,16,30.303030303030305,,0,,1.0714882866475997,9.496644,8.49582,LL-RIs
HsaINT1004194,APEX1,183,4.0,1.0,0.0,,53.0054644808743,-0.0784780237936302,63.265,502.23,599.425,-0.2552310465276881,12.0,7.882,0.6568333333333333,-0.1825448155180406,Stable_4h,16,1.0526315789473684,0.53536478805688,0,,1.3302234429360624,11.18341,8.442954,LL-RIs
HsaINT0010772,APPL2,209,20.0,18.0,0.0,,37.3205741626794,0.0381442299605203,51.81,29.245,11.945,1.2917831352843252,12.0,5.824,0.4853333333333333,-0.313959879742644,Stable_4h,2,100.0,0.542505108332994,0,,1.2630664944042809,12.545469,4.5987124,LL-RIs
HsaINT0010909,ARAF,505,15.0,12.0,0.0,,56.8316831683168,0.2388373004436116,52.72,106.215,30.445,1.802710304183724,5.286,10.344,1.956867196367764,0.2915613530766461,Stable_4h,14,95.86776859504133,2.78278406547021,0,,0.4493235750657451,10.918551,8.329555,LL-RIs
HsaINT1004277,ARAP3,3065,32.0,16.0,60.0652528548124,"DNA/hAT-Charlie, SINE/Alu, SINE/MIR, Simple_repeat",49.1027732463295,0.0918978462509787,49.115,179.82,24.305,2.887228450446149,12.0,12.0,1.0,0.0,Stable_4h,90,90.6832298136646,,0,,1.1570165287042595,7.6159616,6.480071,LL-RIs
HsaINT0011002,ARAP3,253,32.0,20.0,0.0,,58.8932806324111,0.0658015871488873,82.68,179.82,24.305,2.887228450446149,12.0,12.0,1.0,0.0,Stable_4h,4,100.0,,0,,0.8460431428179975,7.3469625,8.567689,LL-RIs
HsaINT0010996,ARAP3,110,32.0,15.0,0.0,,55.4545454545455,0.0977247669703301,32.25,179.82,24.305,2.887228450446149,12.0,12.0,1.0,0.0,Stable_4h,0,,,0,,2.4635102348488283,6.962289,6.7362843,LL-RIs
HsaINT0011069,ARFGAP1,2014,12.0,9.0,0.0,,63.4558093346574,-0.6659612518778488,88.09,628.87,42.02,3.9036137468980048,7.068,12.0,1.697792869269949,0.2298847052128984,Stable_4h,178,95.18935516888432,3.02463761027101,0,,0.2513323269910602,7.970056,9.376773,LL-RIs
HsaINT0011061,ARFGAP1,652,12.0,11.0,0.0,,63.6503067484663,-0.4100568382979332,87.525,628.87,42.02,3.9036137468980048,7.068,12.0,1.697792869269949,0.2298847052128984,Stable_4h,74,97.38717339667458,3.02463761027101,0,,0.219634595670487,8.858351,8.945675,LL-RIs
HsaINT0011557,ARHGAP33,635,20.0,15.0,26.2992125984252,Simple_repeat,71.9685039370079,0.8518990527358118,54.59,197.49,7.97,4.631056069149172,11.249,5.205,0.4627077962485554,-0.3346931829310464,Stable_4h,20,2.5641025641025643,3.70289523795189,0,,0.6836403352038667,6.841725,8.63198,LL-RIs
HsaINT1004379,ARHGAP33,84,20.0,20.0,0.0,,69.0476190476191,0.2316867451643549,47.365,197.49,7.97,4.631056069149172,11.249,12.0,1.0667614899102142,0.0280673292700234,Stable_4h,4,100.0,3.70289523795189,0,,2.175845486289743,4.021662,8.976613,LL-RIs
HsaINT1004377,ARHGAP33,929,20.0,18.0,0.0,,54.5748116254037,-0.4917273699329285,50.38,197.49,7.97,4.631056069149172,11.249,9.904,0.8804338163392301,-0.0553032851015586,Stable_4h,43,89.40397350993378,3.70289523795189,0,,0.7894292141198189,8.983228,7.8530107,LL-RIs
HsaINT0011588,ARHGAP39,11046,9.0,5.0,38.176715553141406,"LINE/L1, SINE/Alu, SINE/MIR, Simple_repeat",55.8392178164041,-0.3139859665513431,86.38,46.775,6.48,2.851671935243522,7.403,7.495,1.0124273942996085,0.0053638878020963,Stable_4h,426,91.1631730374024,0.841410334979803,0,,0.4131455249332824,8.356117,8.727814,LL-RIs
HsaINT0011755,ARHGEF1,301,27.0,27.0,0.0,,57.8073089700997,-0.8676466657221318,33.34,171.225,24.74,2.7909759548568505,12.0,12.0,1.0,0.0,Stable_4h,10,92.85714285714286,,0,,2.4339657885115136,7.2296586,6.68133,LL-RIs
